leg_name,"Aagard, Douglas C.","Adams, J. Stuart","Alexander, Jeff","Allen, Sheryl L.","Andersen, Sylvia S.","Barrus, Roger E.","Becker, Ralph","Bigelow, Ron","Bird, Jim","Biskupski, Jackie","Bourdeaux, Duane E.","Bowman, DeMar Bud","Brown, Melvin R.","Buttars, Craig W.","Buxton, D. Gregg","Chavez-Houck, Rebecca","Christensen, LaVar","Clark, David","Clark, Stephen D.","Cosgrove, Tim M.","Cox, David N.","Curtis, Greg J.","Daw, Bradley M.","Dee, Brad L.","Donnelson, Glenn A.","Dougall, John","Draxler, Jack R.","Duckworth, Carl W.","Dunnigan, James A.","Ferrin, James A.","Ferry, Ben C.","Fisher, Janice M.","Fisher, Julie","Fowlke, Lorie D.","Frank, Craig A.","Froerer, Gage","Garn, Kevin S.","Gibson, Kerry W.","Gowans, James R.","Greenwood, Richard A.","Grover, Keith","Hansen, Neil A.","Hardy, Ann W.","Harper, Wayne A.","Hemingway, Lynn N.","Hendrickson, Neal B.","Herrod, Christopher N.","Hogue, David L.","Holdaway, Kory M.","Hughes, Gregory H.","Hunsaker, Fred R","Hutchings, Eric K.","Johnson, Bradley T.","Johnson, Christine A.","King, Brad","Kiser, Todd E.","Last, Bradley G.","Lawrence, M. Susan","Litvack, David","Lockhart, Rebecca D.","Mascaro, Steven R.","Mathis, John G.","McCartney, Ty","McGee, Rosalind J.","McIff, Kay L.","Menlove, Ronda Rudd","Morgan, Karen W.","Morley, Michael T.","Moss, Carol Spackman","Murray, Joseph G.","Neuenschwander, Paul A.","Newbold, Merlynn T.","Noel, Michael E.","Oda, Curtis","Painter, Patrick","Ray, Paul","Riesen, Phil","Sandstrom, Stephen E.","Seelig, Jennifer M.","Shurtliff, LaWanna","Snow, Gordon E.","Sumsion, Kenneth W.","Tilton, Aaron","Ure, David","Urquhart, Stephen H.","Walker, Mark W.","Wallace, Peggy","Webb, R. Curt","Wheatley, Mark A.","Wheeler, Richard W.","Wiley, Larry B.","Wimmer, Carl","Winn, Bradley A.","Wyatt, Scott L","Allen, Ron","Arent, Patrice M.","Bell, Gregory S.","Bramble, Curtis S.","Buttars, D. Chris","Christensen, Allen M.","Davis, Gene","Dmitrich, Mike","Eastman, Dan R.","Evans, Beverly Ann","Fife, Fred J.","Greiner, Jon J.","Hale, Karen","Hatch, Thomas V.","Hellewell, Parley G.","Hickman, John W.","Hillyard, Lyle W.","Jenkins, Scott K.","Julander, Paula F.","Killpack, Sheldon L.","Knudson, Peter C.","Madsen, Mark B.","Mansell, L. Alma","Mayne, Ed","Mayne, Karen","McCoy, Scott D.","Niederhauser, Wayne L.","Peterson, Darin G.","Stephenson, Howard A.","Stowell, Dennis E.","Thomas, David L.","Valentine, John L.","Van Tassell, Kevin T.","Waddoups, Michael G.","Walker, Carlene M.","Dayton, Margaret","Goodfellow, Brent H.","Jones, Patricia W.","Romero, Ross I."
"Bourdeaux, Duane E.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Bowman, DeMar Bud",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Brown, Melvin R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buttars, Craig W.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,1,0,0,0,1,0,1,0,NA,0,NA,1,0,NA,0,0,NA,0,0,10,10,10,10
"Buxton, D. Gregg",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,1,0,NA,0,0,10,10,10,10
"Chavez-Houck, Rebecca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christensen, LaVar",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,1,0,NA,0,0,10,10,10,10
"Clark, David",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,0,0,0,0,0,1,1,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Clark, Stephen D.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Cosgrove, Tim M.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Cox, David N.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Curtis, Greg J.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Daw, Bradley M.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Dee, Brad L.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Donnelson, Glenn A.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Dougall, John",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,1,0,10,10,10,10
"Draxler, Jack R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duckworth, Carl W.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Dunnigan, James A.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,1,0,1,0,0,1,0,0,NA,0,1,0,0,1,0,0,1,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,1,0,10,10,10,10
"Ferrin, James A.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,1,NA,0,0,NA,0,0,10,10,10,10
"Ferry, Ben C.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Fisher, Janice M.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Fisher, Julie",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
"Fowlke, Lorie D.",10,10,10,10,NA,10,10,10,NA,10,10,10,NA,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,NA,NA,10,10,NA,NA,10,10,10,NA,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,NA,10,10,10,10,10,NA,NA,NA,10,10,NA,10,10,10,10,10,NA,10,10,10,NA,NA,10,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,10,10,10,10
